Title,ImgUrl,Date,AccessionNumber,Medium,Location
Neck from a vessel depicting the goddess Hathor flanked by felines,http://images.metmuseum.org/CRDImages/eg/web-thumb/DP109405.jpg,ca. 1070–712 B.C.,30.8.370,"Silver, gold",The Met Fifth Avenue in Gallery 125
Necklace in Gold Filagree of Queen Tausret,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.66_EGDP010684.jpg,ca. 1200–1186 B.C.,30.8.66,Gold,The Met Fifth Avenue in Gallery 124
Madonna and Child,http://images.metmuseum.org/CRDImages/ep/web-thumb/DP258301.jpg,ca. 1480,30.95.293,"Tempera, oil, and gold on wood",The Met Fifth Avenue in Gallery 606
Portrait of a Man with Gloves,http://images.metmuseum.org/CRDImages/ep/web-thumb/DP257790.jpg,ca. 1535,30.95.279,Oil on wood,The Met Fifth Avenue in Gallery 644
Virgin and Child,http://images.metmuseum.org/CRDImages/ep/web-thumb/DT1481.jpg,ca. 1455–60,30.95.280,Oil on wood,The Met Fifth Avenue in Gallery 641
"""Bhil Couple Hunting Deer at Night"", Folio from the Davis Album",http://images.metmuseum.org/CRDImages/is/web-thumb/DP107564.jpg,18th century,30.95.174.20,"Ink, opaque watercolor, and gold on paper",The Met Fifth Avenue in Gallery 251
"""Portrait of a Persian Lady"", Folio from the Davis Album",http://images.metmuseum.org/CRDImages/is/web-thumb/DP159391.jpg,ca. 1736–37,30.95.174.32,"Ink, opaque watercolor, and gold on paper",The Met Fifth Avenue in Gallery 462
Artist's Sketch of Ramesses IV,http://images.metmuseum.org/CRDImages/eg/web-thumb/DP109395.jpg,ca. 1153–1147 B.C.,30.8.234,"Limestone, ink",The Met Fifth Avenue in Gallery 122
Water Bottle from Tutankhamun's Embalming Cache,http://images.metmuseum.org/CRDImages/eg/web-thumb/09.184.83.jpg,ca. 1336–1327 B.C.,09.184.83,"Pottery, hematite wash, burnished, pigment",The Met Fifth Avenue in Gallery 121
Shabti box of Yuya,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.60-DT541.jpg,ca. 1390–1352 B.C.,"30.8.60a, b",Painted wood,The Met Fifth Avenue in Gallery 119
Shabti of Siptah,http://images.metmuseum.org/CRDImages/eg/web-thumb/DP109391.jpg,ca. 1194–1188 B.C.,14.6.179,"Travertine (Egyptian alabaster), paint",The Met Fifth Avenue in Gallery 124
Model yoke,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1390–1352 B.C.,30.8.63,Bronze or copper alloy,The Met Fifth Avenue in Gallery 122
Plaque: Wedjat Eye,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.1053_view_2.jpg,664–332 B.C.,30.8.1053,Lapis lazuli,The Met Fifth Avenue in Gallery 127
Plaque; Wedjat Eye,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.1054_EGDP019176.jpg,664–332 B.C.,30.8.1054,Agate,The Met Fifth Avenue in Gallery 127
"Scaraboid, squatting Re-Harakhty",http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.1060_EGDP019171.jpg,664–332 B.C.,30.8.1060,Jasper,The Met Fifth Avenue in Gallery 127
"""Portrait of the Russian Ambassador, Prince Andrey Priklonskiy"", Folio from the Davis Album",http://images.metmuseum.org/CRDImages/is/web-thumb/DP107561.jpg,A.H. 1048/A.D. 1673–74,30.95.174.5,"Ink, opaque watercolor, and gold on paper",The Met Fifth Avenue in Gallery 462
Two Vases in the Shape of a Mother Monkey with her Young,http://images.metmuseum.org/CRDImages/eg/web-thumb/eg30.8.134_1992.338.jpg,ca. 2289–2246 BC,"30.8.134, 1992.338-related","Travertine (Egyptian alabaster), paint, resin and pigment",The Met Fifth Avenue in Gallery 103
Small unguent vessel (amphoriskos),http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.171_EGDP018991.jpg,664–380 B.C.,30.8.171,Glass,The Met Fifth Avenue in Gallery 127
Model Mason's Float from the Foundation Deposit for Hatshepsut's Tomb,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.6.jpg,ca. 1479–1458 B.C.,30.8.6,"Wood, paint",The Met Fifth Avenue in Gallery 116
Funerary Mask of the Overseeer of Builders Amenhotep,http://images.metmuseum.org/CRDImages/eg/web-thumb/DP298040.jpg,ca. 1479–1425 B.C.,30.8.69,"Cartonnage, paint",Not on view
Mirror,http://images.metmuseum.org/CRDImages/es/web-thumb/81216.jpg,late 17th century,30.95.97,Carved and gilded pine,The Met Fifth Avenue in Gallery 508
Floral Collar from Tutankhamun's Embalming Cache,http://images.metmuseum.org/CRDImages/eg/web-thumb/DP225287.jpg,ca. 1336–1327 B.C.,09.184.214,"Papyrus, olive leaves, persea leaves, cornflowers, blue lotus petals, Picris flowers, nightshade berries, faience, linen",The Met Fifth Avenue in Gallery 122
Floral collar from Tutankhamun's Embalming Cache,http://images.metmuseum.org/CRDImages/eg/web-thumb/DP225343.jpg,ca. 1336–1327 B.C.,09.184.216,"Papyrus, olive leaves, persea leaves, nightshade berries, celery (?), faience, linen dyed red",The Met Fifth Avenue in Gallery 122
Resting bovine figurine,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.405_rp.jpg,664–380 B.C.,30.8.405,Gold,The Met Fifth Avenue in Gallery 127
Frog amulet,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.861_rp.jpg,ca. 1295–1070 B.C.,30.8.861,Serpentine,The Met Fifth Avenue in Gallery 122
Genet Amulet,http://images.metmuseum.org/CRDImages/eg/web-thumb/DP228712.jpg,664–380 B.C.,30.8.859,Faience,The Met Fifth Avenue in Gallery 127
Cylinder seal,/content/img/placeholders/NoImageAvailableIcon.png,ca. 2345–2181 B.C. or later,30.8.876,basalt,The Met Fifth Avenue in Gallery 103
Uninscribed Heart Scarab,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.1075 top.jpg,ca. 1070–664 B.C.,30.8.1075,Feldspar,The Met Fifth Avenue in Gallery 130
Stone Mason's Chisel,http://images.metmuseum.org/CRDImages/eg/web-thumb/81697.jpg,ca. 1550–1295 B.C.,30.8.115,Bronze or copper alloy,The Met Fifth Avenue in Gallery 117
Shabti of Siptah,http://images.metmuseum.org/CRDImages/eg/web-thumb/DP160300.jpg,ca. 1194–1188 B.C.,14.6.180,Travertine (Egyptian alabaster),The Met Fifth Avenue in Gallery 122
"Plaque with Harpokrates (or similar) on a lotus, Ptah and Re-Harakhty(?)",http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.692_view_1.jpg,332–30 B.C. or later,30.8.692,Lapis Lazuli,The Met Fifth Avenue in Gallery 127
Vase in the Shape of Mother Monkey with Her Young,http://images.metmuseum.org/CRDImages/eg/web-thumb/DT8834.jpg,ca. 2255–2246 B.C.,30.8.134,"Travertine (Egyptian alabaster), paint, resin and pigment",The Met Fifth Avenue in Gallery 103
Crescent-Shaped Pendant with Confronted Birds,http://images.metmuseum.org/CRDImages/is/web-thumb/DP170371.jpg,11th century,30.95.37,"Gold, cloisonné enamel, turquoise; filigree",Not on view
Female figure,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.198_EGDP019685.jpg,ca. 1981–1550 B.C.,30.8.198,Limestone,The Met Fifth Avenue in Gallery 106
Vessel,http://images.metmuseum.org/CRDImages/eg/web-thumb/DP350590.jpg,ca. 1981–1425 B.C.,30.8.143,Faience,The Met Fifth Avenue in Gallery 113
Scarab,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.616_EGDP016880.jpg,ca. 1295–1070 B.C.,30.8.616,Faience,The Met Fifth Avenue in Gallery 122
Scarab,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.624_EGDP016875.jpg,ca. 1295–1070 B.C.,30.8.624,Faience,The Met Fifth Avenue in Gallery 122
Scarab,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.621_EGDP016884.jpg,ca. 1295–1070 B.C.,30.8.621,Faience,The Met Fifth Avenue in Gallery 122
Scarab,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.610_EGDP016840.jpg,ca. 1295–1070 B.C.,30.8.610,Faience,The Met Fifth Avenue in Gallery 122
Scarab,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.627_EGDP016908.jpg,ca. 1295–1070 B.C.,30.8.627,Steatite (glazed),The Met Fifth Avenue in Gallery 122
Scarab,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.628_EGDP016882.jpg,ca. 1295–1070 B.C.,30.8.628,Faience,The Met Fifth Avenue in Gallery 122
Shabti,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.186_03.jpg,ca. 1295–1070 B.C.,30.8.186,"Limestone, paint",The Met Fifth Avenue in Gallery 122
Basket Vessel,http://images.metmuseum.org/CRDImages/eg/web-thumb/DP116111.jpg,ca. 1550–1295 B.C.,30.8.209,"Clay, buff pottery",The Met Fifth Avenue in Gallery 116
Openwork Barrel Bead,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.433 (2).jpg,ca. 1479–1425 B.C.,30.8.433,"Glazed steatite, gold",The Met Fifth Avenue in Gallery 118
Spindle Bottle,http://images.metmuseum.org/CRDImages/eg/web-thumb/MMA30.8.206.jpg,ca. 1550–1391 B.C.,30.8.206,Pottery,The Met Fifth Avenue in Gallery 116
Small vessel (Amphoriskos),http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.174_EGDP018983.jpg,664–332 B.C.,30.8.174,Glass,The Met Fifth Avenue in Gallery 127
Hairpin Decorated with a Hippopotamus,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.220_EGDP021660.jpg,ca. 1840–1640 B.C.,30.8.220,Ivory,The Met Fifth Avenue in Gallery 406
Shabti,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.187_01.jpg,570–526 B.C.,30.8.187,Faience,The Met Fifth Avenue in Gallery 130
Winged scarab amulet,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.1082a-c_EGDP012497.jpg,ca. 1070–945 B.C.,30.8.1082a-c,Faience,The Met Fifth Avenue in Gallery 130
Perfume vase,http://images.metmuseum.org/CRDImages/eg/web-thumb/MMA30.8.175.jpg,664–332 B.C.,30.8.175,Glass,The Met Fifth Avenue in Gallery 130
Sekhmet Amulet,/content/img/placeholders/NoImageAvailableIcon.png,664–30 B.C.,30.8.266,Discolored green faience,The Met Fifth Avenue in Gallery 130
Sekhmet Amulet,http://images.metmuseum.org/CRDImages/eg/web-thumb/81988.jpg,664–30 B.C.,30.8.265,Blue faience,The Met Fifth Avenue in Gallery 130
Chalice fragment,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–664 B.C.,30.8.154,Faience,The Met Fifth Avenue in Gallery 130
Comb fragment,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.223-cr.jpg,ca. 1550–1295 B.C.,30.8.223,Ivory,The Met Fifth Avenue in Gallery 117
Scarab,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.620_EGDP014994.jpg,ca. 1295–1070 B.C.,30.8.620,Steatite (glazed,The Met Fifth Avenue in Gallery 122
Scarab,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.630_EGDP016904.jpg,ca. 1295–1070 B.C.,30.8.630,Faience,The Met Fifth Avenue in Gallery 122
Scarab,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.964_EGDP015022.jpg,ca. 1295–1070 B.C.,30.8.964,Steatite,The Met Fifth Avenue in Gallery 122
Scarab,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.963_EGDP015002.jpg,ca. 1295–1070 B.C.,30.8.963,Steatite (glazed),The Met Fifth Avenue in Gallery 122
Scarab,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.832_EGDP015000.jpg,ca. 1295–1070 B.C.,30.8.832,Steatite (glazed),The Met Fifth Avenue in Gallery 122
Hair pin fragment,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1295–1070 B.C.,30.8.1101,Bone,The Met Fifth Avenue in Gallery 122
Scarab,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.617_EGDP016868.jpg,ca. 1295–1070 B.C.,30.8.617,Faience,The Met Fifth Avenue in Gallery 122
Scarab,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.618_EGDP016842.jpg,ca. 1295–1070 B.C.,30.8.618,Faience,The Met Fifth Avenue in Gallery 122
Scarab,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.619_EGDP016912.jpg,ca. 1295–1070 B.C.,30.8.619,Faience,The Met Fifth Avenue in Gallery 122
"Scarab, Akhenaten",http://images.metmuseum.org/CRDImages/eg/web-thumb/30_8_608.jpg,ca. 1353–1336 B.C.,30.8.608,Glazed steatite,The Met Fifth Avenue in Gallery 122
Scarab,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.626_EGDP016838.jpg,ca. 1295–1070 B.C.,30.8.626,Steatite (glazed),The Met Fifth Avenue in Gallery 122
"Jar, double",http://images.metmuseum.org/CRDImages/eg/web-thumb/MMA30.8.213.jpg,ca. 1550–1295 B.C.,30.8.213,Pottery,The Met Fifth Avenue in Gallery 117
Kohl stick,http://images.metmuseum.org/CRDImages/eg/web-thumb/DP157548.jpg,ca. 1981–1802 B.C.,30.8.166c,Obsidian,The Met Fifth Avenue in Gallery 106
Kohl jar,http://images.metmuseum.org/CRDImages/eg/web-thumb/DP157548.jpg,ca. 1981–1802 B.C.,"30.8.166a, b",Obsidian,The Met Fifth Avenue in Gallery 106
Taweret amulet,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.273_EGDP021631.jpg,ca. 1550–1295 B.C.,30.8.273,Carnelian,The Met Fifth Avenue in Gallery 117
Mirror,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.112-cr.jpg,ca. 1550–1295 B.C.,30.8.112,Bronze or copper alloy,The Met Fifth Avenue in Gallery 117
"Jug, handled",http://images.metmuseum.org/CRDImages/eg/web-thumb/MMA30.8.205.jpg,ca. 1550–1295 B.C.,30.8.205,"Pottery, redware",The Met Fifth Avenue in Gallery 116
"Ring, scarab",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.416,"Gold, lapis lazuli",The Met Fifth Avenue in Gallery 117
Badge with the Virgin and Child,http://images.metmuseum.org/CRDImages/md/web-thumb/sf30-95-125s1.jpg,ca. 1500,30.95.125,"Silver, partial-gilt",The Met Fifth Avenue in Gallery 306
"Tiburcio Pérez y Cuervo (1785/86–1841), the Architect",http://images.metmuseum.org/CRDImages/ep/web-thumb/DP295718.jpg,1820,30.95.242,Oil on canvas,Not on view
Model Adze,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.1.jpg,ca. 1479–1458 B.C.,30.8.1,"Bronze or copper alloy, wood, leather",The Met Fifth Avenue in Gallery 116
Model Saw,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.2_view.1.jpg,ca. 1479–1458 B.C.,30.8.2,"Bronze or copper alloy, wood",The Met Fifth Avenue in Gallery 116
Large Storage Jar from Tutankhamun's Embalming Cache,http://images.metmuseum.org/CRDImages/eg/web-thumb/09.184.1.jpg,ca. 1336–1327 B.C.,09.184.1,"Pottery, whitewash",The Met Fifth Avenue in Gallery 122
Heart Scarab with a Human Head,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.1080_EGDP019019.jpg,1550–1295 B.C.,30.8.1080,"Basalt, bronze or copper alloy, remains of gold leaf",The Met Fifth Avenue in Gallery 127
Sphinx of Amenhotep II,http://images.metmuseum.org/CRDImages/eg/web-thumb/DP136532.jpg,ca. 1427–1400 B.C.,30.8.72,Sandstone,The Met Fifth Avenue in Gallery 118
Votive Bowl,http://images.metmuseum.org/CRDImages/eg/web-thumb/DP116066.jpg,ca. 1479–1425 B.C.,30.8.67,Bronze or copper alloy,The Met Fifth Avenue in Gallery 117
Scarab Inscribed for Queen (Ahmose-)Nefertari,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.470_EGDP011094.jpg,ca. 1550–1525 B.C.,30.8.470,"Steatite, glazed",The Met Fifth Avenue in Gallery 117
Uninscribed Heart Scarab,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.1076 top.jpg,ca. 1070–664 B.C.,30.8.1076,"Stone, gold leaf traces",The Met Fifth Avenue in Gallery 130
Heart Scarab,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.1078 top.jpg,ca. 1070–664 B.C.,30.8.1078,"Faience, inlay",The Met Fifth Avenue in Gallery 130
Scarab Inscribed for the God's Wife (Ahmose-)Nefertari,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.473_EGDP011098.jpg,ca. 1550–1525 B.C.,30.8.473,"Steatite, glazed",The Met Fifth Avenue in Gallery 117
Bead Inscribed for the King's Wife (Ahmose-)Nefertari,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.471_EGDP011213.jpg,ca. 1550–1525 B.C.,30.8.471,"Steatie, glazed",The Met Fifth Avenue in Gallery 117
Scarab Inscribed with the Name Ahmose-Nefertari,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.469_EGDP011107.jpg,ca. 1550–1479 B.C.,30.8.469,"Steatite, glazed",The Met Fifth Avenue in Gallery 117
Shabti of Yuya,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.58-DT541.jpg,ca. 1390–1352 B.C.,30.8.58,"Cedar, ink",The Met Fifth Avenue in Gallery 119
Vase inscribed for the Mistress of the House Amenemweskhet,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.211a_EGDP018364.jpg,ca. 1479–1390 BC,30.8.211a,"Pottery, paint",The Met Fifth Avenue in Gallery 117
Fragment Depicting a Goddess?,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1194–1188 B.C.,14.6.321,Travertine (Egyptian alabaster),The Met Fifth Avenue in Gallery 122
Lip fragment of a canopic box,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1194–1188 B.C.,14.6.327,Travertine (Egyptian alabaster),The Met Fifth Avenue in Gallery 122
"Fragment of a lotiform chalice, with the figure of a king - see 26.7.979",http://images.metmuseum.org/CRDImages/eg/web-thumb/image-number-only.jpg,ca. 1070–664 B.C.,30.8.153,Faience,The Met Fifth Avenue in Gallery 130
Painted Bowl from Tutankhamun's Embalming Cache,http://images.metmuseum.org/CRDImages/eg/web-thumb/09.184.105_EGDP017709.jpg,ca. 1336–1327 B.C.,09.184.105,"Pottery, pigment",The Met Fifth Avenue in Gallery 122
Papyrus Lids from the Embalming Cache of Tutankhamun,http://images.metmuseum.org/CRDImages/eg/web-thumb/VS09.184.243B.JPG,ca. 1336–1327 B.C.,09.184.243,Papyrus fiber,The Met Fifth Avenue in Gallery 122
Pair of Sandals,http://images.metmuseum.org/CRDImages/eg/web-thumb/10.184.1a-b_EGDP014939.jpg,ca. 1390–1352 B.C.,"10.184.1a, b","Grass, reed, papyrus",The Met Fifth Avenue in Gallery 122
Frog Seal,/content/img/placeholders/NoImageAvailableIcon.png,664–332 B.C.,30.8.862,Agate,The Met Fifth Avenue in Gallery 127
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,664–332 B.C.,30.8.1062,"Steatite, green glaze",The Met Fifth Avenue in Gallery 127
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,664–332 B.C.,30.8.1064,Bronze,The Met Fifth Avenue in Gallery 127
Hare amulet,/content/img/placeholders/NoImageAvailableIcon.png,664–332 B.C.,30.8.1057,"Steatite, green glaze",The Met Fifth Avenue in Gallery 127
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,664–332 B.C.,30.8.853,Breccia,The Met Fifth Avenue in Gallery 127
Model Pot Stand from a Foundation Deposit for Hatshepsut's Tomb,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.13_view.2.jpg,ca. 1479–1458 B.C.,30.8.13,"Palm leaf, grass",The Met Fifth Avenue in Gallery 116
Model Sheet from the Foundation Deposit for Hatshepsut's Tomb,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.10.jpg,ca. 1479–1458 B.C.,30.8.10,Linen,The Met Fifth Avenue in Gallery 116
Model Sheet from the Foundation Deposit for Hatshepsut's Tomb,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.9.jpg,ca. 1479–1458 B.C.,30.8.9,Linen,The Met Fifth Avenue in Gallery 116
Model Sheet from the Foundation Deposit for Hatshepsut's Tomb,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.11.jpg,ca. 1479–1458 B.C.,30.8.11,Linen,The Met Fifth Avenue in Gallery 116
Model Ax from the Foundation Deposit for Hatshepsut's Tomb,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.3.jpg,ca. 1479–1458 B.C.,30.8.3,"Bronze or copper alloy, wood",The Met Fifth Avenue in Gallery 116
Model Chisel from the Foundation Deposit for Hatshepsut's Tomb,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.4.jpg,ca. 1479–1458 B.C.,30.8.4,"Bronze or copper alloy, wood",The Met Fifth Avenue in Gallery 116
Model Chisel from the Foundation Deposit for Hatshepsut's Tomb,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.5.jpg,ca. 1479–1458 B.C.,30.8.5,"Bronze or copper alloy, wood",The Met Fifth Avenue in Gallery 116
Model Bread Loaf from the Foundation Deposit for Hatshepsut's Tomb,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.19.jpg,ca. 1479–1458 B.C.,30.8.19,Bread,The Met Fifth Avenue in Gallery 116
Model Bread Loaf from the Foundation Deposit for Hatshepsut's Tomb,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.18.jpg,ca. 1479–1458 B.C.,30.8.18,Bread,The Met Fifth Avenue in Gallery 116
Model Yoke and Baskets for a Shabti,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.61-63_01.jpg,ca. 1390–1352 B.C.,30.8.61,Bronze or copper alloy,The Met Fifth Avenue in Gallery 122
Shabti of Thutmose IV,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.27_02.jpg,ca. 1400–1390 B.C.,30.8.27,Faience,The Met Fifth Avenue in Gallery 119
Scarabs with the Name of the Hyksos King Sheshi,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.462_top.jpg,ca. 1700 B.C.,30.8.462,Glazed steatite,The Met Fifth Avenue in Gallery 111
Relief Trial Piece with the Head of the King,http://images.metmuseum.org/CRDImages/eg/web-thumb/EG116.jpg,ca. 1390–1352 B.C.,30.8.83,Limestone,The Met Fifth Avenue in Gallery 119
Head of a woman from a spoon,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.91_01.jpg,ca. 1353–1295 B.C.,30.8.91,Wood,The Met Fifth Avenue in Gallery 122
Scarab with the Name of the Hyksos King Khayan,http://images.metmuseum.org/CRDImages/eg/web-thumb/D_457_bottom.jpg,ca. 1620–1581 B.C.,30.8.457,"Steatite, gold mount",The Met Fifth Avenue in Gallery 111
Canaanite Scarab with a Lion over a Crocodile,http://images.metmuseum.org/CRDImages/eg/web-thumb/D_767_bottom.jpg,ca. 1600–1500 B.C.,30.8.767,Steatite,The Met Fifth Avenue in Gallery 111
Canaanite Scarab with Two Men and a Lion,http://images.metmuseum.org/CRDImages/eg/web-thumb/D_764_bottom.jpg,ca. 1648–1540 B.C.,30.8.764,Steatite (glazed),The Met Fifth Avenue in Gallery 111
Scarab with a Solar/Lunar Deity (?) Protected by Two Animal Headed Figures,http://images.metmuseum.org/CRDImages/eg/web-thumb/D_762_bottom.jpg,ca. 1600–1540 B.C.,30.8.762,Steatite (glazed),The Met Fifth Avenue in Gallery 111
Canaanite Scarab with a Roaring Lion,http://images.metmuseum.org/CRDImages/eg/web-thumb/D_769_bottom.jpg,ca. 1600–1500 B.C.,30.8.769,Steatite,The Met Fifth Avenue in Gallery 111
Scarab with Name of the Queen of King Ahmose,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.491_EGDP010632.jpg,ca. 1550–1525 B.C.,30.8.491,"Steatite, gold mounting",The Met Fifth Avenue in Gallery 117
White cross-lined ware beaker with hippos,http://images.metmuseum.org/CRDImages/eg/web-thumb/DP259601.jpg,ca. 3650–3500 B.C.,30.8.203,"Pottery, paint",The Met Fifth Avenue in Gallery 101
Statue of an asymmetrically seated man,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.76_front.jpg,ca. 1981–1550 B.C.,30.8.76,Yellow limonite (G.L.Finlay),The Met Fifth Avenue in Gallery 106
Statue of a Seated Man in a Cloak,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.73_EGDP022611.jpg,ca. 1802–1640 B.C.,30.8.73,Limestone,The Met Fifth Avenue in Gallery 111
Scarab with cartouche of Usermaatre,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.593_EGDP016856.jpg,ca. 1295–1070 B.C.,30.8.593,Glazed steatite,The Met Fifth Avenue in Gallery 122
Tile with Isis in the marshes,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.239_EGDP015264.jpg,ca. 1070–664 B.C.,30.8.239,Limestone,The Met Fifth Avenue in Gallery 125
Scarab with the Name of King and the Sacred Goose of Amun,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.589 bottom.jpg,ca. 1400–1390 B.C.,30.8.589,Steatite,The Met Fifth Avenue in Gallery 119
Plaque with the Throne Name of Thutmose IV,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.590 front.jpg,ca. 1400–1390 B.C.,30.8.590,Glass,The Met Fifth Avenue in Gallery 119
